name of data:airfoil
number of data:1503
number of attributes:5
various training number:75  150  225  300  375  450  525  600  675  751

liner logistic regression
2.2775	1.7471	1.6124	1.3527	1.2572	1.2272	1.1588	1.118	1.103	1.0735
1.6369	1.4748	1.3799	1.2447	1.2049	1.2218	1.1604	1.1167	1.1036	1.0718
1.636	1.5293	1.4639	1.432	1.4586	1.4456	1.4581	1.468	1.4819	1.5282
5.1101	3.3295	1.6648	1.5475	1.3408	1.2314	1.1766	1.1276	1.0886	1.0588
5.7068	2.5295	1.5734	1.5312	1.3416	1.2175	1.1691	1.1233	1.0846	1.0581
14.526	2.6694	1.7367	1.661	1.3938	1.2613	1.1947	1.1351	1.0905	1.0589
2.1283	2.1863	1.484	1.4553	1.3023	1.211	1.1611	1.1215	1.0845	1.0581

L2 liner logistic regression via 10 cross validation
1.8055	1.7758	1.5655	1.2936	1.2787	1.1691	1.1322	1.0919	1.0754	1.073
1.5523	1.5107	1.3431	1.2027	1.2462	1.1642	1.1242	1.0977	1.079	1.0704
1.6088	1.4658	1.4711	1.4622	1.4537	1.4402	1.4487	1.4443	1.4685	1.5269
4.225	2.1066	1.5936	1.7902	1.241	1.1888	1.1635	1.1121	1.0848	1.0689
4.1436	1.9503	1.5887	1.7808	1.2011	1.1805	1.1565	1.1095	1.0785	1.0675
5.0803	2.1753	1.7286	1.863	1.2349	1.2213	1.166	1.1155	1.0819	1.0677
2.2265	1.8215	1.4671	1.6361	1.2098	1.1707	1.1502	1.1045	1.0813	1.0681

gaussian kernel logistic regression
1.8283	1.8318	1.6928	1.5778	1.438	1.3308	1.2764	1.2342	1.1459	1.1196
1.4535	1.3499	1.2755	1.2496	1.1889	1.1477	1.1559	1.1325	1.0929	1.1012
1.6039	1.4785	1.4719	1.4407	1.4475	1.4319	1.443	1.464	1.4837	1.524
4.6084	6.4446	1.651	1.4996	1.3889	1.2505	1.149	1.1559	1.0745	1.0655
3.5149	4.9508	1.4258	1.3211	1.3212	1.2124	1.1141	1.1278	1.0669	1.0602
4.6223	4.9202	1.4409	1.3146	1.3361	1.2145	1.1158	1.1272	1.0693	1.0607
2.5399	2.1094	1.5037	1.3901	1.3287	1.224	1.1353	1.146	1.0714	1.0646

L2 gaussian kernel logistic regression via 10 cross validation
2.286	2.0113	1.8119	1.5578	1.3725	1.2533	1.1465	1.0889	1.0906	1.0857
1.623	1.341	1.3706	1.2654	1.1807	1.1675	1.1123	1.0851	1.083	1.0836
1.6739	1.4808	1.5191	1.4577	1.4588	1.4466	1.4541	1.4386	1.4825	1.5293
4.0405	2.5461	2.2607	1.5374	1.2148	1.2194	1.2734	1.1157	1.1243	1.0716
3.7297	2.3088	2.0097	1.4446	1.1637	1.1746	1.237	1.1053	1.1139	1.0686
4.8388	2.4267	2.023	1.461	1.1677	1.1727	1.2376	1.1083	1.1135	1.0687
1.9197	1.8733	1.7649	1.4294	1.1846	1.1965	1.2511	1.1075	1.1183	1.0707
